0:39,20.87,12.01,13,4.1
1:39,20.32,12.01,13,4.09
2:39,20.29,12.05,13,4.09
3:39,20.24,12.17,14,4.1
4:39,19.95,12.21,14,4.09
5:39,19.41,12.21,14,4.08
6:39,19.3,12.21,14,4.08
7:39,20.08,12.21,14,4.11
8:39,21.06,12.32,14,4.13
9:39,23.23,12.37,13,4.17
10:39,26.88,12.54,13,4.21
11:39,30.3,12.54,12,4.21
12:39,30.42,12.48,12,4.18
13:39,31.55,12.54,12,4.18
14:39,32.71,12.37,12,4.17
15:39,29.28,12.01,12,4.11
16:39,29.38,12.01,12,4.1
17:39,27.47,11.85,12,4.07
18:39,25.69,11.81,12,4.04
Hora,Temperatura,Humidade,EC,pH
19:39,23.94,11.96,12,4
20:39,22.87,12.21,12,3.98
21:39,22.15,12.54,12,3.98
22:39,21.32,12.7,13,3.97
23:39,20.58,12.7,14,3.97
